outer_fold,feature,segment,train_n,train_positives,selected_source,champion_auc_train4,cat_auc_train4,xgb_auc_train4,lgbm_auc_train4
2,audit_commute_5km,70,2116,314,CHAMPION,0.9554316859540356,0.9553751316654531,0.9551383105820144,0.9546735050227279
2,audit_commute_5km,60,13528,1910,CHAMPION,0.9491320112589329,0.9485214538912808,0.9490345816520491,0.9487842479488859
3,audit_commute_5km,5,116634,21499,XGB,0.9436355677035368,0.9431511231564944,0.9436506131194614,0.9435217210005988
3,audit_commute_5km,35,46075,8087,CHAMPION,0.9441227716030517,0.943732369573236,0.9440829924893206,0.943927586863711
3,audit_commute_5km,20,39910,7313,CHAMPION,0.9452475832462772,0.944695580256419,0.9452202971936694,0.9451816533137981
3,audit_commute_5km,50,45498,7409,CHAMPION,0.9469497584103064,0.9465172800470966,0.9469010042228669,0.9468354978152642
3,audit_commute_5km,40,47108,8566,CHAMPION,0.947030575170062,0.946772022086927,0.9469670632785919,0.9468410981028995
3,audit_commute_5km,30,52474,8848,CHAMPION,0.9437005656497126,0.943197017551539,0.9436936239910853,0.9435668904701967
3,audit_commute_5km,65,9128,493,CAT,0.9472220819322278,0.9476814370497915,0.9467252595984783,0.9456227368450725
3,audit_commute_5km,25,43164,7544,CHAMPION,0.9437769093226903,0.9433302316843934,0.9437255560937504,0.9436655562306973
3,audit_commute_5km,45,54119,8534,CHAMPION,0.9459448709366058,0.9455535695516137,0.945885425772023,0.945820637727304
3,audit_commute_5km,15,22566,5342,CHAMPION,0.9419394500686269,0.9417974501374885,0.94180058021136,0.941562651123879
3,audit_commute_5km,10,6968,2103,CAT,0.9419346609527133,0.9419918395831532,0.9415730183328374,0.941190654568255
3,audit_commute_5km,55,34543,5401,CHAMPION,0.9489146899352717,0.948547844391058,0.9488268763625431,0.9487060790931955
3,audit_commute_5km,60,13370,1907,CHAMPION,0.949808990792793,0.9496037066156767,0.9496483544946438,0.9493666062502182
3,audit_commute_5km,70,2141,329,CHAMPION,0.962710602065259,0.9625009225896924,0.9624455672081429,0.9620312405644236
4,audit_commute_5km,20,39981,7274,CHAMPION,0.9446605974263,0.9441325569031321,0.9445999234048801,0.9446431160785281
4,audit_commute_5km,5,116770,21593,XGB,0.9437931453937255,0.9433362946432393,0.9438003711191965,0.9436651697670503
4,audit_commute_5km,35,46031,8145,CHAMPION,0.9451931527191183,0.9449469081860294,0.9451156966748522,0.9449637789333235
4,audit_commute_5km,50,45551,7435,CHAMPION,0.9468063246989705,0.946395043467282,0.9467710255946822,0.9466419501775029
4,audit_commute_5km,55,34606,5351,CHAMPION,0.9498013443611091,0.9492987588338463,0.9497592985413226,0.9495481910923099
4,audit_commute_5km,40,47038,8565,CHAMPION,0.9465236224753883,0.9462400838525601,0.9464669402423506,0.9463373082363778
4,audit_commute_5km,30,52356,8768,CHAMPION,0.943396068482821,0.9429432106975132,0.9433895205139999,0.9432520092439057
4,audit_commute_5km,65,9045,505,CAT,0.9457123147911981,0.9461855682055326,0.9454293134231457,0.9437361745542235
4,audit_commute_5km,25,43228,7584,CHAMPION,0.9444735533305917,0.944089264613688,0.9444192444464883,0.94435056207494
4,audit_commute_5km,45,54037,8527,CHAMPION,0.9449206093111964,0.9445029898050005,0.944852679754155,0.9448750923076381
4,audit_commute_5km,15,22610,5327,CHAMPION,0.9426901245263467,0.942545718101867,0.9424997079014841,0.9423924919694768
4,audit_commute_5km,10,6960,2119,CAT,0.9418566575671721,0.9419501448565565,0.9415800950645828,0.9409278286899525
4,audit_commute_5km,60,13401,1869,CHAMPION,0.9515222442884406,0.95099617654979,0.9514159497001574,0.9511586342105816
