our,theirs,rho,alpha,auc
lr,lightgbm_fine_income_te_cpu::oof_prediction,0.9899565957545237,0.5,0.9459975885311016
lr,lightgbm_fine_income_te_cpu::oof_prediction,0.9899565957545237,0.6,0.9459036389642133
lr,lightgbm_fine_income_te_cpu::oof_prediction,0.9899565957545237,0.7,0.9457690487607361
OURS_BLEND,lightgbm_fine_income_te_cpu::oof_prediction,0.9969555813133213,0.5,0.9462941958936317
OURS_BLEND,lightgbm_fine_income_te_cpu::oof_prediction,0.9969555813133213,0.6,0.9463236228896988
OURS_BLEND,lightgbm_fine_income_te_cpu::oof_prediction,0.9969555813133213,0.7,0.9463399046312739
lgbm_ref,xgboost_exact_value_bayesian_te_smoothing_ultralow_gpu::oof_prediction,0.9935564997376051,0.5,0.9461758839638549
lgbm_ref,xgboost_exact_value_bayesian_te_smoothing_ultralow_gpu::oof_prediction,0.9935564997376051,0.6,0.9462366212214243
lgbm_ref,xgboost_exact_value_bayesian_te_smoothing_ultralow_gpu::oof_prediction,0.9935564997376051,0.7,0.946276154162973
xgb_ref,xgboost_exact_value_bayesian_te_smoothing_ultralow_gpu::oof_prediction,0.9940286711719091,0.5,0.9461738167071075
xgb_ref,xgboost_exact_value_bayesian_te_smoothing_ultralow_gpu::oof_prediction,0.9940286711719091,0.6,0.9462354192188116
xgb_ref,xgboost_exact_value_bayesian_te_smoothing_ultralow_gpu::oof_prediction,0.9940286711719091,0.7,0.94627622272914
cat_ref,xgboost_exact_value_bayesian_te_smoothing_ultralow_gpu::oof_prediction,0.9875391418323395,0.5,0.9460901842381526
cat_ref,xgboost_exact_value_bayesian_te_smoothing_ultralow_gpu::oof_prediction,0.9875391418323395,0.6,0.9461406401316382
cat_ref,xgboost_exact_value_bayesian_te_smoothing_ultralow_gpu::oof_prediction,0.9875391418323395,0.7,0.946170196548479
lr,xgboost_exact_value_bayesian_te_smoothing_ultralow_gpu::oof_prediction,0.9913502411885788,0.5,0.9457349159052395
lr,xgboost_exact_value_bayesian_te_smoothing_ultralow_gpu::oof_prediction,0.9913502411885788,0.6,0.945674306004787
lr,xgboost_exact_value_bayesian_te_smoothing_ultralow_gpu::oof_prediction,0.9913502411885788,0.7,0.9455784077328142
